run_name,top1_acc,top5_acc,num_frames,delta_top1_vs_baseline,delta_top5_vs_baseline
baseline,0.17774599356369664,0.839612521535611,184578,0.0,0.0
adapter_full,0.5155218931833696,0.9618426898113535,184578,0.33777589961967297,0.12223016827574251
